,model,question,solution,answer,accuracy,solvability,appropriateness,mac
88,llama,Tony Stark has 100 Iron Man suits. He uses 15 suits to defeat Thanos. He uses 20 suits to defeat Ultron. He uses 15 suits to defeat Loki. How many suits does he have left?,"def solution():
    # Tony Stark started with 100 Iron Man suits
    suits_initial = 100
    # He used 15 suits to defeat Thanos
    suits_used_thanos = 15
    # He used 20 suits to defeat Ultron
    suits_used_ultron = 20
    # He used 15 suits to defeat Loki
    suits_used_loki = 15
    # The answer is
    result = suits_initial - suits_used_thanos - suits_used_ultron - suits_used_loki
    return result",50,1.0,1,1.0,1
89,mammoth,"There are 1000 students at a school. 100 of them are in the Gryffindor house, 200 of them are in the Hufflepuff house, and 300 of them are in the Ravenclaw house. How many students are in the Slytherin house?","def solution():
    #Total students at Hogwarts
    total_students = 1000
    #Students in Gryffindor, Hufflepuff, and Ravenclaw
    gryffindor_students = 100
    hufflepuff_students = 200
    ravenclaw_students = 300
    #Students in Slytherin
    slytherin_students = total_students - gryffindor_students - hufflepuff_students - ravenclaw_students
    return slytherin_students",400,1.0,1,1.0,1
90,llama,"Captain America has 1000 shields. 500 of them are in the Avengers Tower, 200 of them are in the Avengers Quinjet, and the rest of them are in the Avengers Helicarrier. How many shields are in the Avengers Helicarrier?","def solution():
    #Total shields
    total_shields = 1000
    #Shields in Avengers Tower
    shields_avengers_tower = 500
    #Shields in Avengers Quinjet
    shields_avengers_quinjet = 200
    #Shields in Avengers Helicarrier
    shields_avengers_helicarrier = total_shields - shields_avengers_tower - shields_avengers_quinjet
    return shields_avengers_helicarrier",300,1.0,1,1.0,1
91,mammoth,There are 4 Ninja Turtles and each of them has 2 pizzas. How many pizzas are there in total?,"def solution():
    #number of ninja turtles
    ninja_turtles = 4
    #number of pizzas each ninja turtle has
    pizzas_per_ninja_turtle = 2
    #total number of pizzas
    total_pizzas = ninja_turtles * pizzas_per_ninja_turtle
    return total_pizzas",8,1.0,1,1.0,1
92,llema,10 unicorns can cast 855 spells in 72 minutes. How many spells can a single unicorn cast in an hour?,"def solution():
    #Total expected number of spells to be cast is 10 unicorns * 205 spells / 1 hour
    total_expected_spells = 10 * 205
    #205 spells are cast in 72 minutes
    spells_cast = 205
    #60 minutes is an hour
    minutes_in_hour = 60
    #The answer is
    result = total_expected_spells * (spells_cast / minutes_in_hour)
    return result",7004.166666666666,0.0,1,1.0,0
93,mammoth,Harry Potter has 45 Galleons and needs 10 more Galleons to buy a new wand. How many total Galleons does he have?,"def solution():
    #Harry Potter has 45 Galleons
    galleons = 45
    #He needs 10 more Galleons to buy a new wand
    need_galleons = 10
    #The answer is
    result = galleons + need_galleons
    return result",55,0.0,1,0.0,0
95,mammoth,Super Mario can run 1000 meters in 10 seconds. How many meters can he run in 25 seconds?,"def solution():
    #Super Mario can run 1000 meters in 10 seconds
    meters_per_second = 1000 / 10
    #He can run
    meters_in_25_seconds = meters_per_second * 25
    return meters_in_25_seconds
print(solution())",2500.0,1.0,1,0.0,0
96,llama,"Batman is 6' 2"" tall. 
He was 3' 7"" tall when he was 5. 
How many more inches is he now than he was then?","def solution():
    # Batman's current height in inches
    current_height = 6 * 12 + 2
    # Batman's height when he was 5 in inches
    past_height = 3 * 12 + 7
    # The difference in height
    height_difference = current_height - past_height
    return height_difference",31,1.0,1,1.0,1
97,llama,"LeBron James has played in 100 games. He has scored 25 points in 20 of those games, 30 points in 30 of those games, and 40 points in 50 of those games. How many points has he scored in total?","def solution():
    #LeBron James has played in 100 games
    games = 100
    #He has scored 25 points in 20 of those games
    points_25 = 25
    #He has scored 30 points in 30 of those games
    points_30 = 30
    #He has scored 40 points in 50 of those games
    points_40 = 40
    #The answer is
    result = games * (points_25 * 20 + points_30 * 30 + points_40 * 50)
    return result",340000,0.0,1,1.0,0
100,llama,A bag of candy has 100 pieces of candy. 20% of them are chocolate. 15% of them are gummies. 10% of them are sour. 5% of them are lollipops. 50% of them are hard candies. How many pieces of candy are not hard candies?,"def solution():
    #Total candy
    total_candy = 100
    #Chocolate
    chocolate = total_candy * 0.2
    #Gummies
    gummies = total_candy * 0.15
    #Sour
    sour = total_candy * 0.1
    #Lollipops
    lollipops = total_candy * 0.05
    #Hard candy
    hard_candy = total_candy * 0.5
    #The answer is
    result = total_candy - hard_candy
    return result",50.0,1.0,1,1.0,1
101,mammoth,"Iron Man can fly 100 miles per minute. 
How many miles does he fly in 5 minutes?","def solution():
    #Iron Man can fly 100 miles per minute
    miles_per_minute = 100
    #He flies for 5 minutes
    minutes = 5
    #The answer is
    result = miles_per_minute * minutes
    return result",500,1.0,1,0.0,0
102,llama,Taylor Swift has 3 albums with 13 songs each. How many songs does she have in total?,"def solution():
    #Taylor Swift has 3 albums
    albums = 3
    #Each album has 13 songs
    songs_per_album = 13
    #The answer is
    result = albums * songs_per_album
    return result",39,1.0,1,1.0,1
103,mammoth,"Super Mario has 1000 gold coins. He gives 500 of them to the princess on the first day. On the second day, he gives 200 more to the Toad. How many gold coins does he have left?","def solution():
    #Super Mario started with 1000 gold coins
    coins_initial = 1000
    #He gave 500 of them to the princess on the first day
    coins_given_first_day = 500
    #He gave 200 more to the Toad on the second day
    coins_given_second_day = 200
    #The answer is
    result = coins_initial - coins_given_first_day - coins_given_second_day
    return result",300,1.0,1,1.0,1
104,mammoth,A plane can fly 500 miles in 1 hour. How many miles can it fly in 6 hours?,"def solution():
    # A plane can fly 500 miles in 1 hour
    miles_per_hour = 500
    # We need to find out how many miles it can fly in 6 hours
    hours = 6
    # The distance it can fly in 6 hours is 6 times the distance it can fly in 1 hour
    miles_in_6_hours = miles_per_hour * hours
    return miles_in_6_hours",3000,1.0,1,1.0,1
105,llama,"Superman is flying at 300 miles per hour. He has to fly 3,000 miles to get to the location of a meteor shower. How many hours will it take Superman to get to the meteor shower?","def solution():
    #Superman's speed
    superman_speed = 300
    #Distance Superman has to travel
    superman_distance = 3000
    #The answer is
    result = superman_distance / superman_speed
    return result",10.0,1.0,1,1.0,1
107,llema,"A train departs Chicago on time with 100 cars. After 5 minutes, an Amtrak train leaves with 20 more cars than the CSX train. 14 minutes later, a Norfolk-Southern train leaves with twice as many cars as the Amtrak train. What is the maximum number of cars the Norfolk-Southern train can have?","def solution():
    #A CSX train departs Chicago with 100 cars
    csx_cars = 100
    #An Amtrak train leaves Chicago 5 minutes later with 20 cars more than the CSX train
    amtrak_cars = csx_cars + 20
    #A Norfolk-Southern train leaves 14 minutes later with twice as many cars as the Amtrak train
    ns_cars = amtrak_cars * 2
    #The answer is
    result = ns_cars
    return result",240,,0,,0
108,mammoth,"Power Rangers can morph 10 times in 15 minutes. They morph for 30 minutes each day, 5 days a week. How many times do they morph in a week?","def solution():
    #Power Rangers can morph 10 times in 15 minutes
    morphs_per_minute = 10 / 15
    #They morph for 30 minutes each day
    morphs_per_day = morphs_per_minute * 30
    #5 days a week
    morphs_per_week = morphs_per_day * 5
    #The answer is
    result = morphs_per_week
    return result",100.0,1.0,1,1.0,1
109,mammoth,"Iron Man has 12000 dollars. He spent 1000 dollars in the morning, 2000 dollars in the afternoon, and 1000 dollars in the evening. How much money is left?","def solution():
    #Iron Man has 12000 dollars
    money = 12000
    #He spent 1000 dollars in the morning, 2000 dollars in the afternoon, and 1000 dollars in the evening
    spent_morning = 1000
    spent_afternoon = 2000
    spent_evening = 1000
    #The answer is
    result = money - spent_morning - spent_afternoon - spent_evening
    return result",8000,1.0,1,1.0,1
110,llema,"750000 people attended the Super Bowl.
120000 of those people were Cleveland Browns fans.
800 Cleveland Browns fans got into a brawl with 200 Ravens fans.
How many people did the Ravens fans outnumber?","def solution():
    #Number of people at the Super Bowl
    num_people = 750000
    #Number of Cleveland Browns fans
    cleveland_fans = 120000
    #Browns fans
    browns_fans = cleveland_fans
    #Ravens fans that got into a fight
    ravens_fight = 200
    #Ravens fans in total
    ravens_total = ravens_fight + browns_fans
    #Answer
    result = ravens_total - browns_fans
    return result",200,,0,,0
111,llama,"Patrick Mahomes threw 50 touchdown passes in 2018. 
How many more touchdown passes did he throw than the year before?","def solution():
    #Patrick Mahomes threw 50 touchdown passes in 2018
    td_passes_2018 = 50
    #He threw 15 fewer touchdown passes in 2017
    td_passes_2017 = 35
    #The answer is
    result = td_passes_2018 - td_passes_2017
    return result",15,,0,,0
114,llema,A 5-pound bag of Starburst is 60 starbursts. Sour Patch Kids has 15 candies in each packet. How many candies do 6 bags of Starburst and 10 packets of Sour Patch Kids have?,"def solution():
    #A 5-pound bag of Starburst is 60 starbursts
    #So, there are 120 starbursts in 6 bags
    starbursts = 6*60
    #Sour Patch Kids has 15 candies per packet
    #So, there are 150 candies in 10 packets of Sour Patch Kids
    sour_patch = 10*15
    #The answer is
    result = starbursts + sour_patch
    return result",510,1.0,1,0.0,0
115,llema,"Wonder Woman's bracelet has a charm that contains 800 small diamonds.

Diana, her mother, gave her 100 more diamonds on her 11th birthday.

The charm currently holds 400 diamonds.
How many diamonds were in the charm on Wonder Woman's 10th birthday?","def solution():
    #The bracelet has a charm that contains 800 small diamonds
    charm_full = 800
    #Diana, her mother, gave her 100 more diamonds on her 11th birthday
    charm_11 = charm_full + 100
    #The charm currently holds 400 diamonds
    charm_current = 400
    #The answer is
    result = charm_11 - charm_current
    return result",500,,0,,0
