,question,solution,answer,accuracy,explanation
52,There are 16 dogs in a dog park. 4 of the dogs are Labrador Retrievers. 5 are Golden Retrievers. 3 are German Shepherds. The rest are Chihuahuas. How many Chihuahuas are there?,"def solution():
    #Total dogs
    total_dogs = 16
    #Labrador Retrievers
    lab_retrievers = 4
    #Golden Retrievers
    golden_retrievers = 5
    #German Shepherds
    german_shepherds = 3
    #Chihuahuas
    chihuahuas = total_dogs - lab_retrievers - golden_retrievers - german_shepherds
    return chihuahuas",4,1.0,The solution correctly subtracts the known quantities of other dog breeds from the total number of dogs to determine the number of Chihuahuas.
53,"Naruto has 1000 ryo. 100 of the ryo are gold ryo, 200 of the ryo are silver ryo, and the rest are bronze ryo. How many bronze ryo does he have?","def solution():
    #Naruto has 1000 ryo
    ryo_total = 1000
    #100 of the ryo are gold ryo
    ryo_gold = 100
    #200 of the ryo are silver ryo
    ryo_silver = 200
    #The rest are bronze ryo. The answer is
    ryo_bronze = ryo_total - ryo_gold - ryo_silver
    return ryo_bronze",700,1.0,The solution correctly subtracts the number of gold and silver ryo from the total to determine the number of bronze ryo.
54,"Thor has 1000 Mjolnirs. He uses 500 of them to fight the Frost Giants, and 200 of them to fight the Dark Elves. How many Mjolnirs does he have left?","def solution():
    #Thor started with 1000 Mjolnirs
    mjolnirs_initial = 1000
    #He used 500 of them to fight the Frost Giants
    mjolnirs_used_frost_giants = 500
    #And 200 of them to fight the Dark Elves
    mjolnirs_used_dark_elves = 200
    #The answer is
    result = mjolnirs_initial - mjolnirs_used_frost_giants - mjolnirs_used_dark_elves
    return result",300,1.0,The solution correctly identifies the initial number of Mjolnirs and subtracts the number used to fight both the Frost Giants and the Dark Elves to arrive at the correct remaining number of Mjolnirs.
55,"There are 1000 dinosaurs in total. Out of these, 100 are allergic to peanuts, 200 are allergic to almonds, and 50 are allergic to both. How many dinosaurs have no allergies?","def solution():
    total_dinosaurs = 1000
    peanut_allergic_dinosaurs = 100
    almond_allergic_dinosaurs = 200
    both_allergic_dinosaurs = 50
    no_allergies_dinosaurs = total_dinosaurs - peanut_allergic_dinosaurs - almond_allergic_dinosaurs + both_allergic_dinosaurs
    return no_allergies_dinosaurs
print(solution())",750,1.0,The solution correctly applies the principle of inclusion-exclusion by subtracting the numbers of peanut- and almond-allergic dinosaurs and then adding back the dinosaurs allergic to both to prevent double-counting. The resulting calculation gives the accurate number of dinosaurs with no allergies.
56,"I have 2000 materials to build with. I use 1000 to build a wall, 750 to build a ramp, and 250 to build a floor. How many materials do I have left?","def solution():
    #I have 2000 materials to build with
    materials_initial = 2000
    #I use 1000 to build a wall
    materials_wall = 1000
    #I use 750 to build a ramp
    materials_ramp = 750
    #I use 250 to build a floor
    materials_floor = 250
    #The answer is
    result = materials_initial - materials_wall - materials_ramp - materials_floor
    return result",0,1.0,The solution correctly calculates the number of materials remaining after using a specific amount for building different structures by subtracting the materials used for each construction from the initial amount of materials.
57,A wild Pikachu appears. You throw a Pokéball at it. The chance of catching a Pikachu is 1/3. What is the probability of not catching the Pikachu?,"def solution():
    # The probability of catching a Pikachu is 1/3
    probability_catching_pikachu = 1/3
    # The probability of not catching the Pikachu is 1 - probability_catching_pikachu
    probability_not_catching_pikachu = 1 - probability_catching_pikachu
    return probability_not_catching_pikachu
print(solution())",0.6666666666666667,1.0,The solution correctly calculates the probability of not catching a Pikachu by subtracting the given probability of catching it (1/3) from 1. The resulting probability (2/3) matches the provided answer when expressed as a decimal.
58,"Wakanda has 20,000,000 citizens. 1,000,000 of them are under the age of 18. How many citizens are over the age of 18?","def solution():
    #Wakanda has 20,000,000 citizens
    wakanda_citizens = 20000000
    #1,000,000 of them are under the age of 18
    under_18_citizens = 1000000
    #How many citizens are over the age of 18?
    result = wakanda_citizens - under_18_citizens
    return result",19000000,1.0,The solution accurately calculates the correct number of citizens over the age of 18 by subtracting the number of citizens under the age of 18 from the total number of citizens.
59,"The Toyota company sells 80 Corolla cars, 77 Camery cars, and 57 Cressida cars. If each type of car sells for $20,000, how much money does Toyota earn?","def solution():
    #Corolla cars
    corolla_cars = 80
    #Camery cars
    camery_cars = 77
    #Cressida cars
    cressida_cars = 57
    #Each type of car sells for 20,000
    price_per_car = 20000
    #Money earned
    money_earned = corolla_cars * price_per_car + camery_cars * price_per_car + cressida_cars * price_per_car
    return money_earned",4280000,1.0,The provided solution correctly calculates the total money earned by multiplying the number of each car sold by the price per car and summing the totals for all car types.
60,There are 20 unicorns in the world. Each unicorn has 100 rainbows. The rainbows are shared among the unicorns. How many rainbows does each unicorn have?,"def solution():
    #Number of unicorns
    unicorns = 20
    #Number of rainbows each unicorn has
    rainbows_per_unicorn = 100
    #Total number of rainbows
    total_rainbows = unicorns * rainbows_per_unicorn
    #The answer is
    result = total_rainbows / unicorns
    return result
print(result)",100.0,1.0,"Although the solution performs unnecessary calculations, it arrives at the correct number of rainbows each unicorn has according to the original information given in the problem."
61,The Boston Celtics have 17 championships. The Los Angeles Lakers have 16. The Golden State Warriors have 6. How many more championships do the Celtics and Lakers have than the Warriors?,"def solution():
    #The Boston Celtics have 17 championships
    celtics_championships = 17
    #The Los Angeles Lakers have 16
    lakers_championships = 16
    #The Golden State Warriors have 6
    warriors_championships = 6
    #The answer is
    result = celtics_championships + lakers_championships - warriors_championships
    return result",27,1.0,"The solution correctly adds the number of championships that the Celtics (17) and Lakers (16) have, which equals 33, and then subtracts the number of championships that the Warriors (6) have. The correct answer is the difference 33 - 6, which is 27."
62,The T-Rex is the most ferocious dinosaur in the land. It has 3 heads and each head has 3 teeth. How many teeth does the T-Rex have in total?,"def solution():
    # The T-Rex has 3 heads
    heads = 3
    # Each head has 3 teeth
    teeth_per_head = 3
    # The answer is
    result = heads * teeth_per_head
    return result",9,1.0,The solution correctly calculates the number of teeth the T-Rex has in total by multiplying the number of heads by the number of teeth per head.
63,There are 6 Pokémon. 4 of them are 2 feet tall. 2 of them are 3 feet tall. How tall is the average Pokémon?,"def solution():
    #The number of Pokémon
    num_pokemon = 6
    #The number of Pokémon that are 2 feet tall
    pokemon_2ft = 4
    #The number of Pokémon that are 3 feet tall
    pokemon_3ft = 2
    #The average height is
    average_height = (pokemon_2ft * 2 + pokemon_3ft * 3) / num_pokemon
    return average_height
print(solution())",2.3333333333333335,1.0,"The solution correctly computes the average height of the Pokémon by multiplying the number of Pokémon of each height by their corresponding height, adding these values together to get the total height, and then dividing by the total number of Pokémon to get the average height."
64,"Thor is the God of Thunder. 
He can throw his hammer 200 feet. 
If he throws his hammer 10 times, how far does his hammer travel?","def solution():
    #Thor can throw his hammer 200 feet
    hammer_distance = 200
    #He throws his hammer 10 times
    hammer_throws = 10
    #The answer is
    result = hammer_distance * hammer_throws
    return result",2000,1.0,"The solution calculates the total distance by multiplying the distance Thor's hammer travels in a single throw (200 feet) by the number of times he throws it (10 throws), which correctly results in 2000 feet."
